Date,Time,Max
02/10/2023,05:00:00,60
02/10/2023,07:00:00,61
02/10/2023,09:00:00,61
02/10/2023,11:00:00,61
02/10/2023,01:00:00,61
02/10/2023,03:00:00,61
02/10/2023,05:00:00,60
02/10/2023,07:00:00,70
02/10/2023,09:00:00,60
02/10/2023,11:00:00,61
02/11/2023,01:00:00,60
02/11/2023,03:00:00,64
02/11/2023,05:00:00,60
02/11/2023,07:00:00,60
02/11/2023,09:00:00,60
02/11/2023,11:00:00,71
02/11/2023,01:00:00,60
02/11/2023,03:00:00,60
02/11/2023,05:00:00,60
02/11/2023,07:00:00,59
02/11/2023,09:00:00,60
02/11/2023,11:00:00,60
02/12/2023,01:00:00,60
02/12/2023,03:00:00,58
02/12/2023,05:00:00,59
02/12/2023,07:00:00,59
02/12/2023,09:00:00,60
02/12/2023,11:00:00,60
02/12/2023,01:00:00,60
02/12/2023,03:00:00,60
02/12/2023,05:00:00,60
02/12/2023,07:00:00,59
02/12/2023,09:00:00,60
02/12/2023,11:00:00,59
02/13/2023,01:00:00,62
02/13/2023,03:00:00,60
02/13/2023,05:00:00,59
02/13/2023,07:00:00,60
02/13/2023,09:00:00,61
02/13/2023,11:00:00,61
02/13/2023,01:00:00,62
02/13/2023,03:00:00,61
02/13/2023,05:00:00,61
02/13/2023,07:00:00,60
02/13/2023,09:00:00,61
02/13/2023,11:00:00,61
02/14/2023,01:00:00,60
02/14/2023,03:00:00,59
02/14/2023,05:00:00,59
02/14/2023,07:00:00,60
02/14/2023,09:00:00,61
02/14/2023,11:00:00,67
02/14/2023,01:00:00,67
02/14/2023,03:00:00,62
02/14/2023,05:00:00,61
02/14/2023,07:00:00,61
02/14/2023,09:00:00,61
02/14/2023,11:00:00,60
02/15/2023,01:00:00,62
02/15/2023,03:00:00,60
02/15/2023,05:00:00,60
02/15/2023,07:00:00,61
02/15/2023,09:00:00,61
02/15/2023,11:00:00,61
02/15/2023,01:00:00,62
02/15/2023,03:00:00,61
02/15/2023,05:00:00,61
02/15/2023,07:00:00,61
02/15/2023,09:00:00,60
02/15/2023,11:00:00,62
02/16/2023,01:00:00,60
02/16/2023,03:00:00,59
02/16/2023,05:00:00,59
02/16/2023,07:00:00,60
02/16/2023,09:00:00,62
02/16/2023,11:00:00,63
02/16/2023,01:00:00,62
02/16/2023,03:00:00,62
02/16/2023,05:00:00,61
02/16/2023,07:00:00,61
02/16/2023,09:00:00,60
02/16/2023,11:00:00,59
02/17/2023,01:00:00,61
02/17/2023,03:00:00,60
02/17/2023,05:00:00,71
02/17/2023,07:00:00,62
02/17/2023,09:00:00,62
02/17/2023,11:00:00,62
02/17/2023,01:00:00,62
02/17/2023,03:00:00,63
02/17/2023,05:00:00,61
02/17/2023,07:00:00,60
02/17/2023,09:00:00,59
